pdb_id,interface_chain_id_1,interface_chain_id_2,interface_chain_type_1,interface_chain_type_2,interface_chain_cluster_id_1,interface_chain_cluster_id_2,interface_cluster_id,resolution,chain_num
8tuz-assembly1,A,C,protein,protein,protein_613,protein_5092,173,2.186,3
8tuz-assembly1,B,C,protein,protein,protein_1002,protein_5092,174,2.186,3
7xld-assembly1,A,B,protein,protein,protein_444,protein_5557,326,1.65,2
8xnh-assembly1,A,F,protein,protein,protein_1826,protein_5557,346,2.3,9
8bf4-assembly1,A,B,protein,protein,protein_5557,protein_1216,449,2.15,3
8up2-assembly1,A,C,protein,protein,protein_613,protein_5316,527,1.6,3
8up2-assembly1,B,C,protein,protein,protein_1002,protein_5316,528,1.6,3
8pyr-assembly1,A,D,protein,protein,protein_3981,protein_5557,577,2.15,4
8pyr-assembly1,C,D,protein,protein,protein_3809,protein_5557,578,2.15,4
8pih-assembly1,A,B,protein,protein,protein_4046,protein_5557,579,1.76,3
8fdo-assembly1,A,C,protein,protein,protein_613,protein_2211,595,2.2,3
8fdd-assembly1,A,C,protein,protein,protein_613,protein_2209,597,1.54,3
8fdd-assembly1,B,C,protein,protein,protein_1002,protein_2209,598,1.54,3
7x8p-assembly1,A,C,protein,protein,protein_5811,protein_613,679,2.24,3
7x8p-assembly1,A,B,protein,protein,protein_5811,protein_1002,680,2.24,3
8h63-assembly1,A,B,protein,protein,protein_2695,protein_5557,846,1.53,2
8ux6-assembly1,A,F,protein,protein,protein_1002,protein_5373,920,2.0,3
8ux6-assembly1,D,F,protein,protein,protein_613,protein_5373,921,2.0,3
8w90-assembly1,A,B,protein,protein,protein_5557,protein_5615,949,1.81,2
8e0e-assembly1,A,B,protein,protein,protein_1895,protein_5557,1023,2.0,2
8hxq-assembly1,A,B,protein,protein,protein_5557,protein_2934,1134,2.39,4
8ido-assembly1,A,D,protein,protein,protein_3042,protein_5557,1234,2.5,2
8be1-assembly1,A,C,protein,protein,protein_613,protein_161,1239,1.98,3
7txw-assembly1,A,C,protein,protein,protein_1002,protein_2111,1320,2.17,3
7txw-assembly1,B,C,protein,protein,protein_613,protein_2111,1321,2.17,3
8ahn-assembly1,A,B,protein,protein,protein_1772,protein_1002,1427,1.8,3
8ahn-assembly1,A,C,protein,protein,protein_1772,protein_613,1428,1.8,3
7yv1-assembly1,A,B,protein,protein,protein_1803,protein_613,1709,1.454,4
7yv1-assembly1,A,C,protein,protein,protein_1803,protein_1002,1710,1.454,4
8a44-assembly1,A,C,protein,protein,protein_928,protein_613,1759,2.49,4
8a44-assembly1,A,D,protein,protein,protein_928,protein_1002,1760,2.49,4
8tmz-assembly1,A,C,protein,protein,protein_613,protein_5034,1799,1.8,3
8tmz-assembly1,B,C,protein,protein,protein_1002,protein_5034,1800,1.8,3
8fas-assembly1,A,C,protein,protein,protein_613,protein_2190,1802,1.55,3
8fas-assembly1,B,C,protein,protein,protein_1002,protein_2190,1803,1.55,3
7ua2-assembly1,A,C,protein,protein,protein_264,protein_1582,1804,2.19,3
8qf4-assembly1,A,B,protein,protein,protein_5557,protein_4283,1843,1.02,2
8gye-assembly1,A,E,protein,protein,protein_2629,protein_613,1943,2.3,3
8gye-assembly1,A,F,protein,protein,protein_2629,protein_1002,1944,2.3,3
8gy5-assembly1,B,C,protein,protein,protein_1002,protein_5181,1949,1.98,3
9g2g-assembly1,A,C,protein,protein,protein_6483,protein_5557,2058,1.80048236056,4
8g4p-assembly1,A,E,protein,protein,protein_613,protein_1770,2059,2.25,5
8g4p-assembly1,B,E,protein,protein,protein_1002,protein_1770,2060,2.25,5
8fbw-assembly1,A,C,protein,protein,protein_613,protein_2198,2214,2.35,3
8fbw-assembly1,B,C,protein,protein,protein_1002,protein_2198,2215,2.35,3
8ath-assembly1,A,E,protein,protein,protein_1091,protein_613,2256,2.366,3
8ath-assembly1,A,F,protein,protein,protein_1091,protein_1002,2257,2.366,3
9jbq-assembly1,A,C,protein,protein,protein_613,protein_6538,2261,2.0,3
8pmz-assembly1,A,B,protein,protein,protein_4081,protein_1582,2289,1.912,4
7z2m-assembly1,A,J,protein,protein,protein_1002,protein_5347,2325,1.899,6
8f60-assembly1,A,C,protein,protein,protein_613,protein_2162,2445,1.64,3
8f60-assembly1,B,C,protein,protein,protein_1002,protein_2162,2446,1.64,3
8evd-assembly1,A,C,protein,protein,protein_5557,protein_2165,2449,2.0,4
7st5-assembly1,B,F,protein,protein,protein_1002,protein_126,2713,2.2,3
8byu-assembly1,A,C,protein,protein,protein_613,protein_3111,2814,1.85,3
8byu-assembly1,B,C,protein,protein,protein_1002,protein_3111,2815,1.85,3
8d9z-assembly1,A,C,protein,protein,protein_1002,protein_235,2910,1.8,3
8d9z-assembly1,B,C,protein,protein,protein_613,protein_235,2911,1.8,3
9fww-assembly1,A,B,protein,protein,protein_6472,protein_5557,3173,1.844,2
8vzo-assembly1,A,B,protein,protein,protein_5561,protein_613,3179,2.49,3
8vzo-assembly1,A,C,protein,protein,protein_5561,protein_1002,3180,2.49,3
8the-assembly1,A,B,protein,protein,protein_4989,protein_613,3205,2.5,3
8sgn-assembly1,B,C,protein,protein,protein_613,protein_4712,3266,2.2,3
8sgn-assembly1,A,C,protein,protein,protein_1002,protein_4712,3267,2.2,3
8jyr-assembly1,A,B,protein,protein,protein_3489,protein_613,3325,1.69,3
8jyr-assembly1,A,C,protein,protein,protein_3489,protein_1002,3326,1.69,3
8jeo-assembly1,A,B,protein,protein,protein_3331,protein_613,3337,2.06,3
8jeo-assembly1,A,C,protein,protein,protein_3331,protein_1002,3338,2.06,3
7yxu-assembly1,A,B,protein,protein,protein_3912,protein_613,3523,2.31,3
7yxu-assembly1,A,C,protein,protein,protein_3912,protein_1002,3524,2.31,3
8yxi-assembly1,A,C,protein,protein,protein_613,protein_5911,3530,2.4,3
8yxi-assembly1,B,C,protein,protein,protein_1002,protein_5911,3531,2.4,3
8fxv-assembly1,A,B,protein,protein,protein_5522,protein_5557,3630,2.2,4
8vvl-assembly1,A,B,protein,protein,protein_5541,protein_613,3634,1.8,3
8vvl-assembly1,A,C,protein,protein,protein_5541,protein_1002,3635,1.8,3
8vui-assembly1,B,C,protein,protein,protein_1002,protein_5542,3636,2.06,3
8be3-assembly1,A,B,protein,protein,protein_5557,protein_1803,3657,1.85,2
8be2-assembly1,A,B,protein,protein,protein_1238,protein_5557,3658,1.89793505929,2
9en2-assembly1,A,C,protein,protein,protein_6369,protein_5557,3791,2.2,3
8en5-assembly1,A,C,protein,protein,protein_714,protein_5557,3802,1.6,4
9au1-assembly1,C,E,protein,protein,protein_613,protein_5655,3932,2.41,5
8weo-assembly1,A,B,protein,protein,protein_5660,protein_5557,4071,1.5,2
8q7o-assembly1,A,C,protein,protein,protein_5557,protein_5811,4079,1.759,4
7ucx-assembly1,A,B,protein,protein,protein_205,protein_613,4099,1.72,3
7ucx-assembly1,A,C,protein,protein,protein_205,protein_1002,4100,1.72,3
8j7t-assembly1,A,B,protein,protein,protein_3278,protein_1002,4164,2.2,6
8j7t-assembly1,A,C,protein,protein,protein_3278,protein_613,4165,2.2,6
8vyl-assembly1,A,F,protein,protein,protein_5694,protein_5557,4199,2.02,6
8vyl-assembly1,C,F,protein,protein,protein_5693,protein_5557,4200,2.02,6
7zau-assembly1,A,B,protein,protein,protein_800,protein_5557,4235,2.2,2
8c3l-assembly1,A,B,protein,protein,protein_1470,protein_5557,4326,1.59709555301,2
8sfz-assembly1,A,D,protein,protein,protein_5557,protein_1870,4393,1.9,2
8slb-assembly1,A,B,protein,protein,protein_4705,protein_613,4395,2.04,3
8slb-assembly1,A,C,protein,protein,protein_4705,protein_1002,4396,2.04,3
8av2-assembly1,A,C,protein,protein,protein_1100,protein_5557,4400,1.75,2
8oxw-assembly1,A,B,protein,protein,protein_3900,protein_613,4423,1.7,3
8oxw-assembly1,A,C,protein,protein,protein_3900,protein_1002,4424,1.7,3
8oxx-assembly1,A,B,protein,protein,protein_3899,protein_613,4439,2.5,3
8oxx-assembly1,A,C,protein,protein,protein_3899,protein_1002,4440,2.5,3
8q6r-assembly1,A,D,protein,protein,protein_5557,protein_4225,4454,1.9,3
8udz-assembly1,A,C,protein,protein,protein_5522,protein_613,4473,2.21,6
8udz-assembly1,A,D,protein,protein,protein_5522,protein_1002,4474,2.21,6
8w84-assembly1,A,C,protein,protein,protein_613,protein_5609,4579,2.105,4
8oud-assembly1,A,D,protein,protein,protein_1694,protein_5557,4608,2.31,6
8zp2-assembly1,A,B,protein,protein,protein_1785,protein_5557,4675,2.4,2
8s0l-assembly1,A,B,protein,protein,protein_3359,protein_5557,5026,1.8,2
8a67-assembly1,A,D,protein,protein,protein_5125,protein_5557,5027,1.86,4
7yds-assembly1,A,C,protein,protein,protein_3969,protein_1002,5041,2.3,3
8rp8-assembly1,A,C,protein,protein,protein_613,protein_428,5051,2.0,3
8rp8-assembly1,B,C,protein,protein,protein_1002,protein_428,5052,2.0,3
8b1a-assembly1,A,B,protein,protein,protein_1136,protein_5557,5109,2.15,3
8z8v-assembly1,A,B,protein,protein,protein_643,protein_5557,5121,2.05,2
8dtn-assembly1,A,B,protein,protein,protein_5557,protein_1872,5127,2.199,8
8fym-assembly1,A,C,protein,protein,protein_1002,protein_2339,5151,2.45,3
8r4u-assembly1,A,B,protein,protein,protein_5886,protein_1582,5344,2.416,2
8trs-assembly1,A,C,protein,protein,protein_613,protein_5061,5361,1.9,3
8trs-assembly1,B,C,protein,protein,protein_1002,protein_5061,5362,1.9,3
7z1x-assembly1,A,B,protein,protein,protein_773,protein_5557,5364,1.86,6
8gho-assembly1,A,C,protein,protein,protein_5557,protein_2483,5568,1.6,3
7uvs-assembly1,A,C,protein,protein,protein_613,protein_264,5672,2.06,3
7uvs-assembly1,B,C,protein,protein,protein_1002,protein_264,5673,2.06,3
8urf-assembly1,A,C,protein,protein,protein_1002,protein_5337,5768,1.9,3
8urf-assembly1,B,C,protein,protein,protein_613,protein_5337,5769,1.9,3
8dn7-assembly1,A,C,protein,protein,protein_1835,protein_613,5840,2.0,3
8dn7-assembly1,A,F,protein,protein,protein_1835,protein_1002,5841,2.0,3
8aon-assembly1,A,C,protein,protein,protein_1068,protein_1002,5868,2.1,3
8aok-assembly1,A,B,protein,protein,protein_3969,protein_5557,5869,1.6,2
8aom-assembly1,A,B,protein,protein,protein_380,protein_5557,5871,2.202,2
8im0-assembly1,A,B-2,protein,protein,protein_5874,protein_5557,5882,1.31,2
8opr-assembly1,A,B,protein,protein,protein_3788,protein_5557,5953,1.811,3
8h3x-assembly1,A,B,protein,protein,protein_5659,protein_5557,5965,1.66,2
8oni-assembly1,A,F,protein,protein,protein_613,protein_5767,6047,2.3,4
8oni-assembly1,B,F,protein,protein,protein_1002,protein_5767,6048,2.3,4
8oni-assembly1,B,E,protein,protein,protein_1002,protein_4571,6049,2.3,4
8oni-assembly1,A,E,protein,protein,protein_613,protein_4571,6050,2.3,4
8ts0-assembly1,A,C,protein,protein,protein_613,protein_5065,6162,1.7,3
8ts0-assembly1,B,C,protein,protein,protein_1002,protein_5065,6163,1.7,3
8b7h-assembly1,A,C,protein,protein,protein_1002,protein_1192,6195,1.95,6
8b7h-assembly1,B,C,protein,protein,protein_613,protein_1192,6196,1.95,6
8acf-assembly1,A,B,protein,protein,protein_975,protein_613,6252,1.8,4
8acf-assembly1,A,D,protein,protein,protein_975,protein_1002,6253,1.8,4
8t59-assembly1,A,E,protein,protein,protein_613,protein_4895,6307,2.0,3
8t59-assembly1,B,E,protein,protein,protein_1002,protein_4895,6308,2.0,3
8v52-assembly1,A,E,protein,protein,protein_1775,protein_1002,6326,2.5,6
8v52-assembly1,A,F,protein,protein,protein_1775,protein_613,6327,2.5,6
8che-assembly1,A,E,protein,protein,protein_613,protein_1591,6332,1.49,3
8che-assembly1,B,E,protein,protein,protein_1002,protein_1591,6333,1.49,3
8w84-assembly1,A,D,protein,protein,protein_613,protein_6340,6399,2.105,4
8w84-assembly1,B,C,protein,protein,protein_1002,protein_5609,6400,2.105,4
8w84-assembly1,B,D,protein,protein,protein_1002,protein_6340,6401,2.105,4
8uky-assembly1,A,C,protein,protein,protein_1002,protein_5297,6496,2.398,3
8uky-assembly1,B,C,protein,protein,protein_613,protein_5297,6497,2.398,3
8dcm-assembly1,A,C,protein,protein,protein_613,protein_1776,6527,2.5,3
8dcm-assembly1,B,C,protein,protein,protein_1002,protein_1776,6528,2.5,3
8pn0-assembly1,A,E,protein,protein,protein_613,protein_4081,6551,2.072,8
8pn0-assembly1,B,E,protein,protein,protein_1002,protein_4081,6552,2.072,8
8tft-assembly1,A,C,protein,protein,protein_613,protein_4969,6665,2.2,3
8tft-assembly1,B,C,protein,protein,protein_1002,protein_4969,6666,2.2,3
8qz3-assembly1,A,C,protein,protein,protein_1787,protein_5557,6681,2.4,5
8duz-assembly1,A,F,protein,protein,protein_613,protein_1876,6710,1.65,3
7zoz-assembly1,A,B,protein,protein,protein_855,protein_613,6775,2.104,3
7zoz-assembly1,A,C,protein,protein,protein_855,protein_1002,6776,2.104,3
8f5i-assembly1,A,E,protein,protein,protein_2154,protein_613,6923,1.9,6
8f5i-assembly1,A,F,protein,protein,protein_2154,protein_1002,6924,1.9,6
8f5n-assembly1,A,B,protein,protein,protein_2156,protein_1002,6925,1.9,3
8f5n-assembly1,A,C,protein,protein,protein_2156,protein_613,6926,1.9,3
8ivx-assembly1,A,B,protein,protein,protein_3188,protein_613,7037,1.9,3
8ivx-assembly1,A,C,protein,protein,protein_3188,protein_1002,7038,1.9,3
8et0-assembly1,A,C,protein,protein,protein_2077,protein_5557,7074,2.15,4
8q3j-assembly1,A,B,protein,protein,protein_4195,protein_1002,7112,2.35,3
8q3j-assembly1,A,C,protein,protein,protein_4195,protein_613,7113,2.35,3
8c5h-assembly1,A,B,protein,protein,protein_185,protein_5557,7165,1.68,2
