pdb_id,interface_chain_id_1,interface_chain_id_2,interface_chain_type_1,interface_chain_type_2,interface_chain_cluster_id_1,interface_chain_cluster_id_2,interface_cluster_id,resolution,chain_num
8e3r-assembly1,A,C,dna,protein,dna_9,protein_4719,22,1.45,3
8e3r-assembly1,B,C,dna,protein,dna_10,protein_4719,23,1.45,3
8eo4-assembly1,A,C,dna,protein,dna_11,protein_4719,25,1.24,3
8eo4-assembly1,B,C,dna,protein,dna_12,protein_4719,26,1.24,3
8b9n-assembly1,A,B,protein,dna,protein_1202,dna_23,74,2.0,2
8c41-assembly1,A,C,protein,dna,protein_1476,dna_32,87,2.393,6
8c41-assembly1,A,D,protein,dna,protein_1476,dna_33,88,2.393,6
8c41-assembly1,A,E,protein,dna,protein_1476,dna_34,89,2.393,6
8c41-assembly1,A,F,protein,dna,protein_1476,dna_35,90,2.393,6
8g86-assembly1,A,I,protein,dna,protein_1656,dna_68,269,2.3,10
8g86-assembly1,A,J,protein,dna,protein_1656,dna_69,270,2.3,10
8g86-assembly1,B,I,protein,dna,protein_1657,dna_68,271,2.3,10
8g86-assembly1,B,J,protein,dna,protein_1657,dna_69,272,2.3,10
8g86-assembly1,C,I,protein,dna,protein_2888,dna_68,273,2.3,10
8g86-assembly1,C,J,protein,dna,protein_2888,dna_69,274,2.3,10
8g86-assembly1,D,I,protein,dna,protein_3887,dna_68,275,2.3,10
8g86-assembly1,D,J,protein,dna,protein_3887,dna_69,276,2.3,10
8g8j-assembly1,A,B,protein,dna,protein_5291,dna_70,279,1.737,3
8g8h-assembly1,A,C,protein,dna,protein_5291,dna_71,280,1.64,3
8g88-assembly1,I,K,dna,protein,dna_68,protein_2415,294,2.3,11
8g88-assembly1,J,K,dna,protein,dna_69,protein_2415,295,2.3,11
8g8h-assembly1,A,B,protein,dna,protein_5291,dna_74,297,1.64,3
8ujx-assembly1,A,B,protein,dna,protein_5291,dna_103,415,2.17,3
8v7b-assembly1,A,C,protein,dna,protein_5291,dna_104,416,1.69,3
8r0s-assembly1,A,C,protein,dna,protein_4431,dna_106,438,2.35,3
8pw0-assembly1,A,B,protein,dna,protein_4149,dna_107,441,2.2,4
8rm6-assembly1,A,C,protein,dna,protein_4547,dna_111,485,2.05,4
8rm6-assembly1,A,D,protein,dna,protein_4547,dna_112,486,2.05,4
8rm7-assembly1,A,C,protein,dna,protein_4547,dna_113,488,2.25,4
8rm7-assembly1,A,D,protein,dna,protein_4547,dna_114,489,2.25,4
8e5d-assembly1,A,B,protein,dna,protein_1924,dna_126,536,2.39,3
8e5d-assembly1,A,C,protein,dna,protein_1924,dna_127,537,2.39,3
7un7-assembly1,A,B,protein,dna,protein_5156,dna_130,542,2.04,5
7un7-assembly1,A,C,protein,dna,protein_5156,dna_131,543,2.04,5
8u0p-assembly1,A,C,protein,dna,protein_5156,dna_132,544,1.9,4
8u0p-assembly1,A,D,protein,dna,protein_5156,dna_133,545,1.9,4
8ski-assembly1,A,B,protein,dna,protein_5291,dna_157,639,2.163,3
8q9n-assembly1,A,C,protein,dna,protein_499,dna_172,726,1.51,5
8q9n-assembly1,A,D,protein,dna,protein_499,dna_173,727,1.51,5
8tlg-assembly1,A,B,protein,dna,protein_5015,dna_194,806,2.09,4
8tlh-assembly1,A,B,protein,dna,protein_5015,dna_195,810,1.94,4
8tlf-assembly1,A,C,protein,dna,protein_5015,dna_196,815,1.64,4
8sh0-assembly1,A,B,protein,dna,protein_4675,dna_206,871,2.16,2
7ysf-assembly1,A,B,protein,dna,protein_729,dna_211,880,2.4,3
7ysf-assembly1,A,C,protein,dna,protein_729,dna_212,881,2.4,3
7yuk-assembly1,A,B,protein,dna,protein_750,dna_213,900,2.11,3
7yul-assembly1,A,B,protein,dna,protein_751,dna_213,903,1.82,4
8ufk-assembly1,A,F,dna,protein,dna_223,protein_4719,967,2.41,3
8ufk-assembly1,B,F,dna,protein,dna_224,protein_4719,968,2.41,3
8ftj-assembly1,A,B,protein,dna,protein_2291,dna_230,998,2.3,3
8ftj-assembly1,A,C,protein,dna,protein_2291,dna_231,999,2.3,3
7ftn-assembly1,A,B,protein,dna,protein_4699,dna_232,1003,2.0,3
7ftn-assembly1,A,C,protein,dna,protein_4699,dna_233,1004,2.0,3
9bvd-assembly1,A,B,protein,dna,protein_1399,dna_237,1040,2.48,3
9bvd-assembly1,A,C,protein,dna,protein_1399,dna_238,1041,2.48,3
8ijp-assembly1,A,C,protein,dna,protein_3094,dna_240,1062,1.55,4
8ijp-assembly1,A,D,protein,dna,protein_3094,dna_241,1063,1.55,4
8b4b-assembly1,A,C,dna,protein,dna_246,protein_1159,1083,1.75,6
8b4b-assembly1,B,C,dna,protein,dna_247,protein_1159,1084,1.75,6
8b4c-assembly1,A,B,protein,dna,protein_1159,dna_250,1088,2.07,3
8b4c-assembly1,A,C,protein,dna,protein_1159,dna_251,1089,2.07,3
8ifo-assembly1,A,C,protein,dna,protein_4068,dna_274,1187,2.2,4
8ifo-assembly1,A,D,protein,dna,protein_4068,dna_275,1188,2.2,4
8wq5-assembly1,A,E,protein,dna,protein_5736,dna_289,1252,1.65,2
8tac-assembly1,A,C-2,protein,dna,protein_4931,dna_346,1577,2.34,5
8tac-assembly1,A,D-2,protein,dna,protein_4931,dna_347,1578,2.34,5
8cef-assembly1,A,C,dna,protein,dna_353,protein_509,1622,2.486,5
8cef-assembly1,B,C,dna,protein,dna_354,protein_509,1623,2.486,5
8h9h-assembly1,A,C,dna,protein,dna_382,protein_2718,1757,2.2,4
8h9h-assembly1,B,C,dna,protein,dna_383,protein_2718,1758,2.2,4
8fay-assembly1,A,B,protein,dna,protein_2191,dna_389,1794,1.91,3
8fay-assembly1,A,C,protein,dna,protein_2191,dna_390,1795,1.91,3
7zg5-assembly1,C,E,protein,dna,protein_814,dna_393,1806,2.0,6
7zg5-assembly1,C,F,protein,dna,protein_814,dna_394,1807,2.0,6
8k3d-assembly1,A,B,protein,dna,protein_3550,dna_400,1850,2.3,4
8scr-assembly1,A,B,protein,dna,protein_4650,dna_401,1867,2.0,3
8sco-assembly1,A,C,protein,dna,protein_4650,dna_402,1868,1.92,3
8sco-assembly1,A,B,protein,dna,protein_4650,dna_403,1877,1.92,3
8sv3-assembly1,A,D,protein,dna,protein_4802,dna_425,1990,1.51,3
8cyf-assembly1,A,C,protein,dna,protein_1707,dna_435,2077,2.44,4
8cyf-assembly1,A,D,protein,dna,protein_1707,dna_436,2078,2.44,4
8cyf-assembly1,B,C,protein,dna,protein_1708,dna_435,2079,2.44,4
8cyf-assembly1,B,D,protein,dna,protein_1708,dna_436,2080,2.44,4
9dp2-assembly1,A,C,protein,dna,protein_3070,dna_446,2129,1.99,4
9dp2-assembly1,A,D,protein,dna,protein_3070,dna_447,2130,1.99,4
8q41-assembly1,A,C,protein,dna,protein_4198,dna_457,2176,2.38,5
8q43-assembly1,A,C,protein,dna,protein_4198,dna_458,2190,2.28,5
8q42-assembly1,A,C,protein,dna,protein_4198,dna_56,2191,1.97,4
8fik-assembly1,A,C,protein,dna,protein_2231,dna_465,2226,1.912,2
8fil-assembly1,A,C,protein,dna,protein_2231,dna_468,2232,2.01,2
8pmc-assembly1,A,I,dna,protein,dna_483,protein_4083,2305,1.85,3
8pmc-assembly1,B,I,dna,protein,dna_484,protein_4083,2306,1.85,3
8pm5-assembly1,A,B,protein,dna,protein_4083,dna_485,2307,2.33,3
8pm5-assembly1,A,C,protein,dna,protein_4083,dna_486,2308,2.33,3
