pdb_id,interface_chain_id_1,interface_chain_id_2,interface_chain_type_1,interface_chain_type_2,interface_chain_cluster_id_1,interface_chain_cluster_id_2,interface_cluster_id,resolution,chain_num
8v3r-assembly1,A,B,protein,peptide,protein_5405,peptide_21,222,3.4,2
8v3q-assembly1,A,B,protein,peptide,protein_5405,peptide_22,226,3.1,2
8v3o-assembly1,A,B,protein,peptide,protein_5405,peptide_24,230,2.3,2
8i84-assembly1,B,C,protein,peptide,protein_3008,peptide_25,241,2.2,3
8i82-assembly1,B,C,protein,peptide,protein_3008,peptide_26,242,1.95,3
8i89-assembly1,B,C,protein,peptide,protein_3008,peptide_27,247,2.0,3
7r5i-assembly1,A,D,protein,peptide,protein_96,peptide_76,665,1.08,4
7ykd-assembly1,A,B,peptide,protein,peptide_83,protein_665,835,2.81,6
8bvf-assembly1,A,D,protein,peptide,protein_1382,peptide_114,1048,2.68,4
8jgf-assembly1,E,F,peptide,protein,peptide_124,protein_3344,1202,2.7,6
8jgg-assembly1,B,F,peptide,protein,peptide_126,protein_3344,1204,3.0,6
8agy-assembly1,A,B,protein,peptide,protein_1009,peptide_154,1597,1.5,2
8zlz-assembly1,B,C,protein,peptide,protein_6117,peptide_156,1607,1.67,3
8j5u-assembly1,A,B,protein,peptide,protein_3251,peptide_160,1734,1.98,2
8qlv-assembly1,A,B,peptide,protein,peptide_178,protein_4335,2009,1.49,2
8qlm-assembly1,A,C,protein,peptide,protein_4335,peptide_179,2011,1.66,2
8qlg-assembly1,A,B,protein,peptide,protein_4335,peptide_180,2013,1.98,2
8qlk-assembly1,A,B,protein,peptide,protein_4335,peptide_181,2014,2.29,2
8fsq-assembly1,A,B,protein,peptide,protein_2284,peptide_200,2270,1.76,2
8fsr-assembly1,A,B,protein,peptide,protein_2284,peptide_201,2275,1.78,2
8qm0-assembly1,A,E,protein,peptide,protein_4335,peptide_205,2359,1.76,2
8brh-assembly1,A,B,protein,peptide,protein_1343,peptide_212,2417,2.4,2
8xgu-assembly1,A,F,protein,peptide,protein_5895,peptide_236,2801,3.0,6
8xgo-assembly1,A,F,protein,peptide,protein_5895,peptide_237,2812,2.68,6
8qci-assembly1,A,B,protein,peptide,protein_4264,peptide_240,2846,2.2,2
8jzd-assembly1,A,B,protein,peptide,protein_3495,peptide_257,3066,2.45,2
7yvb-assembly1,A,D,protein,peptide,protein_753,peptide_259,3099,2.9,6
8rte-assembly1,A,C,protein,peptide,protein_4577,peptide_275,3342,2.4,4
8wx5-assembly1,A,B,protein,peptide,protein_3498,peptide_314,3737,3.91,2
8fg6-assembly1,A,B,peptide,protein,peptide_369,protein_2224,4228,2.3,2
8jt1-assembly1,A,C,protein,peptide,protein_3446,peptide_384,4280,2.0,4
7udk-assembly1,A,B,protein,peptide,protein_210,peptide_399,4475,3.18,2
7udj-assembly1,A,B,peptide,protein,peptide_400,protein_206,4476,2.7,2
7z6f-assembly1,A,B,protein,peptide,protein_2284,peptide_404,4560,1.65,2
8h0p-assembly1,A,B,peptide,protein,peptide_410,protein_5970,4621,3.15,6
8h0q-assembly1,A,B,protein,peptide,protein_5970,peptide_411,4624,3.3,6
8s6o-assembly1,A,B,protein,peptide,protein_4624,peptide_414,4720,2.4,2
8s6n-assembly1,A,B,protein,peptide,protein_4624,peptide_416,4721,1.743,2
8sao-assembly1,A,C,peptide,protein,peptide_421,protein_4639,4842,2.502,2
8hdj-assembly1,A,B,peptide,protein,peptide_465,protein_2759,5346,1.85,2
7yf2-assembly1,A,C,protein,peptide,protein_591,peptide_468,5371,1.691,4
8gze-assembly1,A,D,protein,peptide,protein_591,peptide_506,5728,3.4,2
8sg1-assembly1,A,E,protein,peptide,protein_4667,peptide_83,5890,2.94,6
8ad9-assembly1,A,D,protein,peptide,protein_982,peptide_533,6029,1.43,2
8on7-assembly1,A,D,protein,peptide,protein_3767,peptide_537,6038,2.5,6
8on9-assembly1,A,B,protein,peptide,protein_3767,peptide_538,6053,2.4,6
7yf4-assembly1,A,C,protein,peptide,protein_591,peptide_551,6119,2.75,4
7yf3-assembly1,A,C,protein,peptide,protein_591,peptide_552,6120,3.434,4
8y52-assembly1,D,E,protein,peptide,protein_5970,peptide_525,6911,2.9,5
8arn-assembly1,A,C,protein,peptide,protein_1124,peptide_646,7182,1.5,2
8are-assembly1,A,B,protein,peptide,protein_1124,peptide_647,7184,1.9,2
