pdb_id,interface_chain_id_1,interface_chain_id_2,interface_chain_type_1,interface_chain_type_2,interface_chain_cluster_id_1,interface_chain_cluster_id_2,interface_cluster_id,resolution,chain_num
8iyq-assembly1,A,C,protein,rna,protein_3206,rna_13,27,2.46,4
8joz-assembly1,A,B,protein,rna,protein_3419,rna_50,163,2.22,2
9c69-assembly1,A,C,protein,rna,protein_6284,rna_3,206,2.4,3
9c68-assembly1,A,C,protein,rna,protein_6284,rna_56,208,1.82,3
9f37-assembly1,A,E,protein,rna,protein_4450,rna_79,331,1.905,5
9f37-assembly1,B,E,protein,rna,protein_6407,rna_79,332,1.905,5
8r0s-assembly1,A,B,protein,rna,protein_4431,rna_105,437,2.35,3
8pnp-assembly1,A,D,protein,rna,protein_4450,rna_154,625,2.49,5
8pnp-assembly1,B,D,protein,rna,protein_6407,rna_154,627,2.49,5
8pnp-assembly1,C,D,protein,rna,protein_4464,rna_154,628,2.49,5
8gxb-assembly1,A,C,rna,protein,rna_416,protein_2614,1914,2.15,7
8xc1-assembly1,A,B,protein,rna,protein_5873,rna_419,1927,2.21,6
8xc1-assembly1,A,C,protein,rna,protein_5873,rna_420,1928,2.21,6
8bh9-assembly1,A,B,protein,rna,protein_1249,rna_422,1978,2.09,2
8dp3-assembly1,A,C,protein,rna,protein_613,rna_449,2142,1.91,3
8dp3-assembly1,B,C,protein,rna,protein_1002,rna_449,2143,1.91,3
8q42-assembly1,A,D,protein,rna,protein_4198,rna_3,2177,1.97,4
8tg4-assembly1,A,B,protein,rna,protein_4971,rna_512,2377,1.37,2
8thq-assembly1,A,B,protein,rna,protein_4992,rna_719,3206,2.41,4
8pso-assembly1,A,D,protein,rna,protein_4127,rna_723,3227,2.4,5
8pso-assembly1,B,D,protein,rna,protein_4128,rna_723,3229,2.4,5
8pso-assembly1,C,E,protein,rna,protein_4129,rna_723,3230,2.4,5
7yew-assembly1,A,B,protein,rna,protein_616,rna_761,3443,2.5,2
7yex-assembly1,A,B,protein,rna,protein_616,rna_768,3459,2.0,2
7yey-assembly1,A,B,protein,rna,protein_617,rna_770,3463,1.85,2
8z85-assembly1,A,D,protein,rna,protein_3921,rna_775,3472,2.3,5
8z85-assembly1,A,E,protein,rna,protein_3921,rna_776,3473,2.3,5
8z85-assembly1,B,D,protein,rna,protein_3922,rna_775,3474,2.3,5
8z85-assembly1,B,E,protein,rna,protein_3922,rna_776,3475,2.3,5
8z9q-assembly1,A,D,protein,rna,protein_3921,rna_778,3490,2.33,4
8z9q-assembly1,B,D,protein,rna,protein_3922,rna_778,3491,2.33,4
8ey7-assembly1,A,B,protein,rna,protein_2106,rna_804,3574,1.35,2
8ey8-assembly1,A,B,protein,rna,protein_2106,rna_805,3575,1.3,2
8ey6-assembly1,A,B,protein,rna,protein_2106,rna_806,3579,1.63,2
8pe3-assembly1,A,C,protein,rna,protein_4013,rna_56,3775,1.96,5
8enk-assembly1,A,D,protein,rna,protein_2021,rna_229,3811,2.5,5
9aur-assembly1,A,C,protein,rna,protein_613,rna_884,3929,1.57,3
9aur-assembly1,B,C,protein,rna,protein_1002,rna_884,3930,1.57,3
8oiv-assembly1,A,C,protein,rna,protein_1581,rna_886,3950,2.12,3
8psz-assembly1,B,F,protein,rna,protein_4128,rna_892,3987,2.42,7
8psz-assembly1,C,F,protein,rna,protein_4129,rna_892,3989,2.42,7
7wkp-assembly1,A,B,protein,rna,protein_3518,rna_967,4398,2.0,2
9avr-assembly1,A,B,protein,rna,protein_6156,rna_968,4399,1.9,2
8h1b-assembly1,A,C,protein,rna,protein_2665,rna_1018,4613,1.55,4
8qjk-assembly1,A,B,protein,rna,protein_4318,rna_3,4640,1.76,8
8rkt-assembly1,A,E,rna,protein,rna_1028,protein_4544,4723,2.35,6
8rkt-assembly1,A,F,rna,protein,rna_1028,protein_4545,4724,2.35,6
8wt6-assembly1,A,E,protein,rna,protein_5759,rna_1087,4955,2.5,10
8c8j-assembly1,A,C,protein,rna,protein_1521,rna_1133,5225,2.1,3
8g91-assembly1,A,B,protein,rna,protein_2106,rna_56,5307,1.2,2
8p7b-assembly1,A,D,protein,rna,protein_3941,rna_1151,5381,2.42,5
8p7b-assembly1,C,E,protein,rna,protein_3977,rna_1151,5382,2.42,5
7xwz-assembly1,A,C,protein,rna,protein_3158,rna_1153,5396,2.25,3
7xwz-assembly1,A,D,protein,rna,protein_3158,rna_1154,5397,2.25,3
7ygl-assembly1,A,C,protein,rna,protein_625,rna_3,5510,2.5,3
8wzc-assembly1,A,B,protein,rna,protein_5807,rna_1275,5797,1.92,2
8t66-assembly1,A,C,protein,rna,protein_4903,rna_56,5807,1.85,3
8t65-assembly1,A,C,protein,rna,protein_4903,rna_3,5820,2.09,3
9dn4-assembly1,C,F,protein,rna,protein_1002,rna_1293,5843,1.9,3
9dn4-assembly1,D,F,protein,rna,protein_613,rna_1293,5844,1.9,3
9c7a-assembly1,A,B,protein,rna,protein_6286,rna_1297,5902,1.4,2
8sj7-assembly1,A,B,protein,rna,protein_4687,rna_1308,5963,2.09,2
8j62-assembly1,A,F,protein,rna,protein_1712,rna_1344,6130,2.5,12
8j62-assembly1,B,F,protein,rna,protein_2649,rna_1344,6131,2.5,12
8j62-assembly1,C,F,protein,rna,protein_2313,rna_1344,6132,2.5,12
8vm9-assembly1,A,E,rna,protein,rna_1347,protein_613,6148,2.2,3
8vm9-assembly1,A,F,rna,protein,rna_1347,protein_1002,6149,2.2,3
8vm8-assembly1,A,B,rna,protein,rna_1352,protein_613,6159,1.54,3
8vm8-assembly1,A,C,rna,protein,rna_1352,protein_1002,6160,1.54,3
8x5v-assembly1,A,B,protein,rna,protein_5835,rna_1538,7009,2.0,4
