pdb_id,chain_id,cluster_id,resolution,chain_num
5sbj-assembly1,A,1,1.28,1
7pv5-assembly1,A,41,1.6,1
7qp5-assembly1,A,55,1.92,1
7qsj-assembly1,A,72,1.35,1
7t9r-assembly1,A,138,1.45,1
7tlh-assembly1,A,155,1.74,1
7tjb-assembly1,A,158,1.30003477218,1
7uba-assembly1,A,200,1.599,1
7uk8-assembly1,A,230,1.85,1
7ur2-assembly1,A,250,1.89,1
7ur7-assembly1,A,251,1.21,1
7urp-assembly1,A,253,1.03,1
7uvg-assembly1,A,262,1.77,1
7uww-assembly1,A,266,1.61,1
7v3o-assembly1,A,276,1.83004663987,1
7w15-assembly1,A,285,1.77,1
7y3h-assembly1,A,329,1.97,1
7wz5-assembly1,A,339,1.39,1
7wzm-assembly1,A,342,1.68,1
7x4p-assembly1,A,354,1.6,1
7x3h-assembly1,A,358,1.7,1
7x8l-assembly1,A,371,1.77,1
7xcd-assembly1,A,390,1.71,1
7xg9-assembly1,A,410,1.5,1
7xi5-assembly1,A,422,1.76,1
7xp9-assembly1,A,462,1.93,1
8ycm-assembly1,A,471,1.32,1
7xq4-assembly1,A,481,1.58,1
7xrx-assembly1,A,482,1.882,1
7xjr-assembly1,A,484,1.85,1
7xyr-assembly1,A,532,2.0,1
7xz3-assembly1,A,533,1.889,1
7y4h-assembly1,A,561,1.8,1
7y54-assembly1,A,563,1.787,1
7y5m-assembly1,A,566,1.5,1
7y5r-assembly1,A,568,1.562,1
7y8h-assembly1,A,580,1.8,1
7y8i-assembly1,A,581,1.9,1
7y5j-assembly1,A,588,1.6,1
7yd4-assembly1,A,609,1.896,1
7yhr-assembly1,A,635,1.45,1
7ykm-assembly1,A,667,1.5,1
7ylr-assembly1,A,678,1.68,1
8gmy-assembly1,A,723,1.7,1
7yug-assembly1,A,750,1.1,1
7yyg-assembly1,A,765,1.95,1
7z65-assembly1,A,782,1.108,1
7znz-assembly1,A,848,1.8,1
7zoi-assembly1,A,853,1.4,1
7zs2-assembly1,A,868,1.12,1
7zu3-assembly1,A,883,1.74,1
7zv1-assembly1,A,885,1.74,1
8adc-assembly1,A,984,1.7,1
8add-assembly1,A,985,1.9,1
8ah9-assembly1,A,1012,1.747,1
8akh-assembly1,A,1033,1.4,1
8ak2-assembly1,A,1043,1.75,1
8arl-assembly1,A,1081,1.45,1
8q8i-assembly1,A,1088,1.769,1
8au6-assembly1,A,1097,2.0,1
8axj-assembly1,A,1113,1.0,1
8azb-assembly1,A,1124,1.4,1
8b2e-assembly1,A,1142,1.1,1
8b2g-assembly1,A,1143,1.5,1
8b2s-assembly1,A,1145,1.94,1
8b4u-assembly1,A,1170,1.71,1
8b5w-assembly1,A,1177,1.8,1
8b61-assembly1,A,1178,1.81,1
8b6a-assembly1,A,1182,1.77,1
8b6e-assembly1,A,1184,1.2,1
8baq-assembly1,A,1211,2.0,1
8bau-assembly1,A,1213,1.6,1
8bfy-assembly1,A,1241,1.55,1
8bgb-assembly1,A,1259,1.7,1
8bke-assembly1,A,1272,2.0,1
8bsb-assembly1,A,1360,1.9,1
8bux-assembly1,A,1374,1.86,1
8c4d-assembly1,A,1483,1.97,1
7xlz-assembly1,A,1486,1.19,1
8c4y-assembly1,A,1488,1.6,1
8cba-assembly1,A,1539,1.25,1
8ci9-assembly1,A,1599,1.41,1
8cih-assembly1,A,1604,2.0,1
8amo-assembly1,A,1626,1.4,1
8cpk-assembly1,A,1668,1.76,1
8cpn-assembly1,A,1670,1.85,1
8d2z-assembly1,A,1734,1.85,1
8daj-assembly1,A,1769,1.2,1
8dez-assembly1,A,1791,1.29,1
8dge-assembly1,A,1798,1.89,1
8dhj-assembly1,A,1808,1.483,1
8dmu-assembly1,A,1833,2.0,1
8dp9-assembly1,A,1850,1.76,1
8dqd-assembly1,A,1880,1.78,1
8dx0-assembly1,A,1884,1.45,1
8e0r-assembly1,A,1900,1.95,1
