pdb_id,seed,sample,ranking_score,prediction_path,interface_chain_id_1,interface_chain_id_2,rmsd,lddt-lp,lddt-pli
8tuz-assembly1,42,1,0.9151489734649658,./outputs/prediction/Protenix/8tuz-assembly1/seed_42/predictions/8tuz-assembly1_seed_42_sample_1_postprocessed.cif,,,,,
8tuz-assembly1,42,3,0.9129141569137572,./outputs/prediction/Protenix/8tuz-assembly1/seed_42/predictions/8tuz-assembly1_seed_42_sample_3_postprocessed.cif,,,,,
7fwf-assembly1,42,1,0.9766969680786132,./outputs/prediction/Protenix/7fwf-assembly1/seed_42/predictions/7fwf-assembly1_seed_42_sample_1_postprocessed.cif,A,D,0.6980211138725281,0.960191861175608,0.9183768630027771
7fwf-assembly1,42,0,0.9773752689361572,./outputs/prediction/Protenix/7fwf-assembly1/seed_42/predictions/7fwf-assembly1_seed_42_sample_0_postprocessed.cif,A,D,0.7118664383888245,0.9637357937186851,0.9188432693481445
8tuz-assembly1,42,4,0.9106789827346802,./outputs/prediction/Protenix/8tuz-assembly1/seed_42/predictions/8tuz-assembly1_seed_42_sample_4_postprocessed.cif,,,,,
7fwf-assembly1,42,2,0.9764403104782104,./outputs/prediction/Protenix/7fwf-assembly1/seed_42/predictions/7fwf-assembly1_seed_42_sample_2_postprocessed.cif,A,D,0.7282251715660095,0.9617194183062446,0.9127798676490784
8tuz-assembly1,42,0,0.9199885725975036,./outputs/prediction/Protenix/8tuz-assembly1/seed_42/predictions/8tuz-assembly1_seed_42_sample_0_postprocessed.cif,,,,,
7fwf-assembly1,42,4,0.97437185049057,./outputs/prediction/Protenix/7fwf-assembly1/seed_42/predictions/7fwf-assembly1_seed_42_sample_4_postprocessed.cif,A,D,0.7229023575782776,0.9676768911157277,0.9151119589805603
8tuz-assembly1,42,2,0.9145904183387756,./outputs/prediction/Protenix/8tuz-assembly1/seed_42/predictions/8tuz-assembly1_seed_42_sample_2_postprocessed.cif,,,,,
5sbj-assembly1,42,0,0.9198831915855408,./outputs/prediction/Protenix/5sbj-assembly1/seed_42/predictions/5sbj-assembly1_seed_42_sample_0_postprocessed.cif,,,,,
5sbj-assembly1,42,2,0.9024255275726318,./outputs/prediction/Protenix/5sbj-assembly1/seed_42/predictions/5sbj-assembly1_seed_42_sample_2_postprocessed.cif,,,,,
5sbj-assembly1,42,4,0.83572918176651,./outputs/prediction/Protenix/5sbj-assembly1/seed_42/predictions/5sbj-assembly1_seed_42_sample_4_postprocessed.cif,,,,,
8e3r-assembly1,42,2,0.9782168865203856,./outputs/prediction/Protenix/8e3r-assembly1/seed_42/predictions/8e3r-assembly1_seed_42_sample_2_postprocessed.cif,,,,,
7fwf-assembly1,42,3,0.9747785329818726,./outputs/prediction/Protenix/7fwf-assembly1/seed_42/predictions/7fwf-assembly1_seed_42_sample_3_postprocessed.cif,A,D,0.7008622288703918,0.9635524868630087,0.9155783653259277
5sbj-assembly1,42,1,0.9090129137039183,./outputs/prediction/Protenix/5sbj-assembly1/seed_42/predictions/5sbj-assembly1_seed_42_sample_1_postprocessed.cif,,,,,
8e3r-assembly1,42,0,0.9783343076705932,./outputs/prediction/Protenix/8e3r-assembly1/seed_42/predictions/8e3r-assembly1_seed_42_sample_0_postprocessed.cif,,,,,
8e3r-assembly1,42,1,0.9782965183258056,./outputs/prediction/Protenix/8e3r-assembly1/seed_42/predictions/8e3r-assembly1_seed_42_sample_1_postprocessed.cif,,,,,
8e3r-assembly1,42,3,0.9781919717788696,./outputs/prediction/Protenix/8e3r-assembly1/seed_42/predictions/8e3r-assembly1_seed_42_sample_3_postprocessed.cif,,,,,
8e3r-assembly1,42,4,0.978127896785736,./outputs/prediction/Protenix/8e3r-assembly1/seed_42/predictions/8e3r-assembly1_seed_42_sample_4_postprocessed.cif,,,,,
5sbj-assembly1,42,3,0.8994913101196289,./outputs/prediction/Protenix/5sbj-assembly1/seed_42/predictions/5sbj-assembly1_seed_42_sample_3_postprocessed.cif,,,,,
