pdb_id,seed,sample,ranking_score,prediction_path,interface_chain_id_1,interface_chain_id_2,dockq_score,irmsd,lrmsd,len_dockq,lddt,tm_score,gdt_ts,rmsd
8tuz-assembly1,42,3,0.9129141569137572,./outputs/prediction/Protenix/8tuz-assembly1/seed_42/predictions/8tuz-assembly1_seed_42_sample_3_postprocessed.cif,,,,,,3,0.911,0.85,0.716,4.872
8tuz-assembly1,42,2,0.9145904183387756,./outputs/prediction/Protenix/8tuz-assembly1/seed_42/predictions/8tuz-assembly1_seed_42_sample_2_postprocessed.cif,,,,,,3,0.911,0.893,0.746,3.664
7fwf-assembly1,42,0,0.9773752689361572,./outputs/prediction/Protenix/7fwf-assembly1/seed_42/predictions/7fwf-assembly1_seed_42_sample_0_postprocessed.cif,,,,,,0,0.949,0.995,1.0,0.307
5sbj-assembly1,42,1,0.9090129137039183,./outputs/prediction/Protenix/5sbj-assembly1/seed_42/predictions/5sbj-assembly1_seed_42_sample_1_postprocessed.cif,A,,,,,0,0.761,0.572,0.83,1.624
7fwf-assembly1,42,1,0.9766969680786132,./outputs/prediction/Protenix/7fwf-assembly1/seed_42/predictions/7fwf-assembly1_seed_42_sample_1_postprocessed.cif,,,,,,0,0.948,0.995,1.0,0.288
5sbj-assembly1,42,0,0.9198831915855408,./outputs/prediction/Protenix/5sbj-assembly1/seed_42/predictions/5sbj-assembly1_seed_42_sample_0_postprocessed.cif,A,,,,,0,0.745,0.569,0.83,1.746
8tuz-assembly1,42,1,0.9151489734649658,./outputs/prediction/Protenix/8tuz-assembly1/seed_42/predictions/8tuz-assembly1_seed_42_sample_1_postprocessed.cif,,,,,,3,0.905,0.862,0.727,4.581
8tuz-assembly1,42,0,0.9199885725975036,./outputs/prediction/Protenix/8tuz-assembly1/seed_42/predictions/8tuz-assembly1_seed_42_sample_0_postprocessed.cif,,,,,,3,0.911,0.868,0.724,4.358
8tuz-assembly1,42,4,0.9106789827346802,./outputs/prediction/Protenix/8tuz-assembly1/seed_42/predictions/8tuz-assembly1_seed_42_sample_4_postprocessed.cif,,,,,,3,0.909,0.879,0.73,4.046
7fwf-assembly1,42,4,0.97437185049057,./outputs/prediction/Protenix/7fwf-assembly1/seed_42/predictions/7fwf-assembly1_seed_42_sample_4_postprocessed.cif,,,,,,0,0.952,0.994,0.998,0.324
7fwf-assembly1,42,3,0.9747785329818726,./outputs/prediction/Protenix/7fwf-assembly1/seed_42/predictions/7fwf-assembly1_seed_42_sample_3_postprocessed.cif,,,,,,0,0.953,0.995,1.0,0.299
8e3r-assembly1,42,1,0.9782965183258056,./outputs/prediction/Protenix/8e3r-assembly1/seed_42/predictions/8e3r-assembly1_seed_42_sample_1_postprocessed.cif,,,,,,0,0.897,0.938,0.871,2.469
5sbj-assembly1,42,2,0.9024255275726318,./outputs/prediction/Protenix/5sbj-assembly1/seed_42/predictions/5sbj-assembly1_seed_42_sample_2_postprocessed.cif,A,,,,,0,0.736,0.559,0.821,1.811
7fwf-assembly1,42,2,0.9764403104782104,./outputs/prediction/Protenix/7fwf-assembly1/seed_42/predictions/7fwf-assembly1_seed_42_sample_2_postprocessed.cif,,,,,,0,0.952,0.994,1.0,0.324
8e3r-assembly1,42,0,0.9783343076705932,./outputs/prediction/Protenix/8e3r-assembly1/seed_42/predictions/8e3r-assembly1_seed_42_sample_0_postprocessed.cif,,,,,,0,0.882,0.943,0.877,2.438
5sbj-assembly1,42,4,0.83572918176651,./outputs/prediction/Protenix/5sbj-assembly1/seed_42/predictions/5sbj-assembly1_seed_42_sample_4_postprocessed.cif,A,,,,,0,0.734,0.579,0.839,1.695
5sbj-assembly1,42,3,0.8994913101196289,./outputs/prediction/Protenix/5sbj-assembly1/seed_42/predictions/5sbj-assembly1_seed_42_sample_3_postprocessed.cif,A,,,,,0,0.767,0.569,0.848,1.63
8e3r-assembly1,42,4,0.978127896785736,./outputs/prediction/Protenix/8e3r-assembly1/seed_42/predictions/8e3r-assembly1_seed_42_sample_4_postprocessed.cif,,,,,,0,0.899,0.939,0.873,2.479
8e3r-assembly1,42,3,0.9781919717788696,./outputs/prediction/Protenix/8e3r-assembly1/seed_42/predictions/8e3r-assembly1_seed_42_sample_3_postprocessed.cif,,,,,,0,0.898,0.937,0.875,2.493
8e3r-assembly1,42,2,0.9782168865203856,./outputs/prediction/Protenix/8e3r-assembly1/seed_42/predictions/8e3r-assembly1_seed_42_sample_2_postprocessed.cif,,,,,,0,0.89,0.938,0.871,2.48
