pdb_id,interface_chain_id_1,interface_chain_id_2,interface_chain_type_1,interface_chain_type_2
8e3r-assembly1,A,C,dna,protein
8e3r-assembly1,B,C,dna,protein
8eo4-assembly1,A,C,dna,protein
8eo4-assembly1,B,C,dna,protein
8b9n-assembly1,A,B,protein,dna
8c41-assembly1,A,C,protein,dna
8c41-assembly1,A,D,protein,dna
8c41-assembly1,A,E,protein,dna
8c41-assembly1,A,F,protein,dna
8g86-assembly1,A,I,protein,dna
8g86-assembly1,A,J,protein,dna
8g86-assembly1,B,I,protein,dna
8g86-assembly1,B,J,protein,dna
8g86-assembly1,C,I,protein,dna
8g86-assembly1,C,J,protein,dna
8g86-assembly1,D,I,protein,dna
8g86-assembly1,D,J,protein,dna
8g8j-assembly1,A,B,protein,dna
8g8h-assembly1,A,C,protein,dna
8g88-assembly1,I,K,dna,protein
8g88-assembly1,J,K,dna,protein
8g8h-assembly1,A,B,protein,dna
8ujx-assembly1,A,B,protein,dna
8v7b-assembly1,A,C,protein,dna
8r0s-assembly1,A,C,protein,dna
8pw0-assembly1,A,B,protein,dna
8rm6-assembly1,A,C,protein,dna
8rm6-assembly1,A,D,protein,dna
8rm7-assembly1,A,C,protein,dna
8rm7-assembly1,A,D,protein,dna
8e5d-assembly1,A,B,protein,dna
8e5d-assembly1,A,C,protein,dna
7un7-assembly1,A,B,protein,dna
7un7-assembly1,A,C,protein,dna
8u0p-assembly1,A,C,protein,dna
8u0p-assembly1,A,D,protein,dna
8ski-assembly1,A,B,protein,dna
8q9n-assembly1,A,C,protein,dna
8q9n-assembly1,A,D,protein,dna
8tlg-assembly1,A,B,protein,dna
8tlh-assembly1,A,B,protein,dna
8tlf-assembly1,A,C,protein,dna
8sh0-assembly1,A,B,protein,dna
7ysf-assembly1,A,B,protein,dna
7ysf-assembly1,A,C,protein,dna
7yuk-assembly1,A,B,protein,dna
7yul-assembly1,A,B,protein,dna
8ufk-assembly1,A,F,dna,protein
8ufk-assembly1,B,F,dna,protein
8ftj-assembly1,A,B,protein,dna
8ftj-assembly1,A,C,protein,dna
7ftn-assembly1,A,B,protein,dna
7ftn-assembly1,A,C,protein,dna
9bvd-assembly1,A,B,protein,dna
9bvd-assembly1,A,C,protein,dna
8ijp-assembly1,A,C,protein,dna
8ijp-assembly1,A,D,protein,dna
8b4b-assembly1,A,C,dna,protein
8b4b-assembly1,B,C,dna,protein
8b4c-assembly1,A,B,protein,dna
8b4c-assembly1,A,C,protein,dna
8ifo-assembly1,A,C,protein,dna
8ifo-assembly1,A,D,protein,dna
8wq5-assembly1,A,E,protein,dna
8tac-assembly1,A,C-2,protein,dna
8tac-assembly1,A,D-2,protein,dna
8cef-assembly1,A,C,dna,protein
8cef-assembly1,B,C,dna,protein
8h9h-assembly1,A,C,dna,protein
8h9h-assembly1,B,C,dna,protein
8fay-assembly1,A,B,protein,dna
8fay-assembly1,A,C,protein,dna
7zg5-assembly1,C,E,protein,dna
7zg5-assembly1,C,F,protein,dna
8k3d-assembly1,A,B,protein,dna
8scr-assembly1,A,B,protein,dna
8sco-assembly1,A,C,protein,dna
8sco-assembly1,A,B,protein,dna
8sv3-assembly1,A,D,protein,dna
8cyf-assembly1,A,C,protein,dna
8cyf-assembly1,A,D,protein,dna
8cyf-assembly1,B,C,protein,dna
8cyf-assembly1,B,D,protein,dna
9dp2-assembly1,A,C,protein,dna
9dp2-assembly1,A,D,protein,dna
8q41-assembly1,A,C,protein,dna
8q43-assembly1,A,C,protein,dna
8q42-assembly1,A,C,protein,dna
8fik-assembly1,A,C,protein,dna
8fil-assembly1,A,C,protein,dna
8pmc-assembly1,A,I,dna,protein
8pmc-assembly1,B,I,dna,protein
8pm5-assembly1,A,B,protein,dna
8pm5-assembly1,A,C,protein,dna
8pmv-assembly1,A,B,protein,dna
8pmv-assembly1,A,C,protein,dna
8pmf-assembly1,A,C,dna,protein
8pmf-assembly1,B,C,dna,protein
8pm7-assembly1,A,I,dna,protein
8pm7-assembly1,B,I,dna,protein
8z2n-assembly1,A,B,protein,dna
8z2n-assembly1,A,C,protein,dna
8qmb-assembly1,A,C,protein,dna
8qmb-assembly1,A,D,protein,dna
8qmb-assembly1,A,F,protein,dna
8qmb-assembly1,B,E,protein,dna
8f69-assembly1,A,C-2,protein,dna
9f0e-assembly1,A,C,protein,dna
9cih-assembly1,A,B,protein,dna
9ci9-assembly1,A,C,protein,dna
9ci9-assembly1,A,B,protein,dna
9bdw-assembly1,A-2,C,protein,dna
9bdw-assembly1,A-2,D,protein,dna
9bdu-assembly1,A,C,protein,dna
9bdu-assembly1,A,D,protein,dna
9bdv-assembly1,A,C,protein,dna
9bdv-assembly1,A,D,protein,dna
8ik5-assembly1,A,C,dna,protein
8ik5-assembly1,B,C,dna,protein
8oya-assembly1,A,C,protein,dna
7yc7-assembly1,A,D,protein,dna
8eml-assembly1,A,B,protein,dna
8eml-assembly1,A,C,protein,dna
8em9-assembly1,A,C,dna,protein
8em9-assembly1,B,C,dna,protein
7uyp-assembly1,A,B,protein,dna
7uyp-assembly1,A,C,protein,dna
7uyn-assembly1,A,B,protein,dna
7uyn-assembly1,A,C,protein,dna
7uyo-assembly1,A,C,protein,dna
8vzm-assembly1,A,C,protein,dna
8vdn-assembly1,A,D,protein,dna
8vdh-assembly1,A,C,dna,protein
8vdh-assembly1,B,C,dna,protein
8vdn-assembly1,A,B,protein,dna
8vdn-assembly1,A,C,protein,dna
8e4h-assembly1,A,C,dna,protein
8e4h-assembly1,B,C,dna,protein
8jkk-assembly1,A,B,protein,dna
8jkk-assembly1,A,C,protein,dna
8vzm-assembly1,A,B,protein,dna
8th9-assembly1,A,B,protein,dna
8th9-assembly1,A,C,protein,dna
8ebh-assembly1,A,C,dna,protein
8ebh-assembly1,B,C,dna,protein
8yrs-assembly1,A,C,protein,dna
8oja-assembly1,A,C,protein,dna
8oja-assembly1,A,D,protein,dna
8oj6-assembly1,A,C,protein,dna
8oj6-assembly1,A,D,protein,dna
8oj6-assembly1,B,C,protein,dna
8oj6-assembly1,B,D,protein,dna
8oja-assembly1,B,C,protein,dna
8oja-assembly1,B,D,protein,dna
8oj7-assembly1,A,C,protein,dna
8oj7-assembly1,A,D,protein,dna
8oj7-assembly1,B,C,protein,dna
8oj7-assembly1,B,D,protein,dna
8t9u-assembly1,A,C,dna,protein
8gn4-assembly1,A,B,protein,dna
8gn4-assembly1,A,C,protein,dna
8gn3-assembly1,A,C,protein,dna
8gn3-assembly1,A,D,protein,dna
7yek-assembly1,A,C,protein,dna
7ycm-assembly1,A,C,protein,dna
8yey-assembly1,A,B,protein,dna
7yc7-assembly1,A,C,protein,dna
8ilg-assembly1,A,B,protein,dna
8ild-assembly1,A,C,protein,dna
8ilh-assembly1,A,E,protein,dna
8ilf-assembly1,A,C,protein,dna
8yxw-assembly1,A,B,protein,dna
8yxw-assembly1,C,D,protein,dna
8v7g-assembly1,A,B,protein,dna
8v7g-assembly1,A,C,protein,dna
8v7b-assembly1,A,B,protein,dna
8b6k-assembly1,A,B,protein,dna
8b6k-assembly1,A,C,protein,dna
7mxv-assembly1,A,B,protein,dna
7mxv-assembly1,A,C,protein,dna
8a0w-assembly1,A,C,protein,dna
8a0w-assembly1,A,D,protein,dna
8rzv-assembly1,A,B,protein,dna
9bs2-assembly1,A,B,protein,dna
8dwe-assembly1,A,C,protein,dna
8dwd-assembly1,A,C,protein,dna
9enq-assembly1,A,B,protein,dna
9enp-assembly1,A,D,protein,dna
