pdb_id,interface_chain_id_1,interface_chain_id_2,interface_chain_type_1,interface_chain_type_2
8iyq-assembly1,A,C,protein,rna
8joz-assembly1,A,B,protein,rna
9c69-assembly1,A,C,protein,rna
9c68-assembly1,A,C,protein,rna
9f37-assembly1,A,E,protein,rna
9f37-assembly1,B,E,protein,rna
8r0s-assembly1,A,B,protein,rna
8pnp-assembly1,A,D,protein,rna
8pnp-assembly1,B,D,protein,rna
8pnp-assembly1,C,D,protein,rna
8gxb-assembly1,A,C,rna,protein
8xc1-assembly1,A,B,protein,rna
8xc1-assembly1,A,C,protein,rna
8bh9-assembly1,A,B,protein,rna
8dp3-assembly1,A,C,protein,rna
8dp3-assembly1,B,C,protein,rna
8q42-assembly1,A,D,protein,rna
8tg4-assembly1,A,B,protein,rna
8thq-assembly1,A,B,protein,rna
8pso-assembly1,A,D,protein,rna
8pso-assembly1,B,D,protein,rna
8pso-assembly1,C,E,protein,rna
7yew-assembly1,A,B,protein,rna
7yex-assembly1,A,B,protein,rna
7yey-assembly1,A,B,protein,rna
8z85-assembly1,A,D,protein,rna
8z85-assembly1,A,E,protein,rna
8z85-assembly1,B,D,protein,rna
8z85-assembly1,B,E,protein,rna
8z9q-assembly1,A,D,protein,rna
8z9q-assembly1,B,D,protein,rna
8ey7-assembly1,A,B,protein,rna
8ey8-assembly1,A,B,protein,rna
8ey6-assembly1,A,B,protein,rna
8pe3-assembly1,A,C,protein,rna
8enk-assembly1,A,D,protein,rna
9aur-assembly1,A,C,protein,rna
9aur-assembly1,B,C,protein,rna
8oiv-assembly1,A,C,protein,rna
8psz-assembly1,B,F,protein,rna
8psz-assembly1,C,F,protein,rna
7wkp-assembly1,A,B,protein,rna
9avr-assembly1,A,B,protein,rna
8h1b-assembly1,A,C,protein,rna
8qjk-assembly1,A,B,protein,rna
8rkt-assembly1,A,E,rna,protein
8rkt-assembly1,A,F,rna,protein
8wt6-assembly1,A,E,protein,rna
8c8j-assembly1,A,C,protein,rna
8g91-assembly1,A,B,protein,rna
8p7b-assembly1,A,D,protein,rna
8p7b-assembly1,C,E,protein,rna
7xwz-assembly1,A,C,protein,rna
7xwz-assembly1,A,D,protein,rna
7ygl-assembly1,A,C,protein,rna
8wzc-assembly1,A,B,protein,rna
8t66-assembly1,A,C,protein,rna
8t65-assembly1,A,C,protein,rna
9dn4-assembly1,C,F,protein,rna
9dn4-assembly1,D,F,protein,rna
9c7a-assembly1,A,B,protein,rna
8sj7-assembly1,A,B,protein,rna
8j62-assembly1,A,F,protein,rna
8j62-assembly1,B,F,protein,rna
8j62-assembly1,C,F,protein,rna
8vm9-assembly1,A,E,rna,protein
8vm9-assembly1,A,F,rna,protein
8vm8-assembly1,A,B,rna,protein
8vm8-assembly1,A,C,rna,protein
8x5v-assembly1,A,B,protein,rna
